113,21107,2021-05-05 14:15:07.278
115,25976,2021-05-27 10:24:05.043
261,8840,2021-05-31 13:44:52.368
325,4309,2021-05-05 10:11:06.926
332,25415,2021-05-25 16:24:30.224
388,14800,2021-05-21 18:12:17.106
526,10915,2021-05-28 08:35:35.82
579,15464,2021-05-14 19:53:25.76
782,9914,2021-05-14 17:48:41.203
795,14004,2021-05-18 13:16:44.633
809,1221,2021-05-26 20:32:47.367
931,4671,2021-05-16 09:16:29.07
934,2632,2021-05-02 20:56:45.032
937,9925,2021-05-26 14:32:16.215
964,18544,2021-05-21 16:46:20.579
997,8033,2021-05-23 10:31:56.449
1061,551,2021-05-01 20:41:10.934
1129,27882,2021-05-06 02:14:54.494
1131,19955,2021-05-30 13:50:56.31
1135,17935,2021-05-03 19:19:03.573
1155,12368,2021-05-13 19:24:39.856
1215,24803,2021-05-26 14:16:02.016
1252,21616,2021-05-19 17:41:58.097
1333,8046,2021-05-05 18:35:24.559
1341,25725,2021-05-12 08:56:23.559
1344,10061,2021-05-30 16:59:46.48
1382,7849,2021-05-01 19:42:48.057
1419,419,2021-05-01 19:46:55.333
1516,3256,2021-05-03 15:56:53.234
1545,11327,2021-05-16 09:53:58.615
1551,21864,2021-05-06 19:16:25.656
1563,13250,2021-05-17 08:03:26.927
1757,2709,2021-05-31 14:56:45.873
1873,9534,2021-05-10 17:18:50.491
1939,8861,2021-05-27 10:28:22.584
1949,19516,2021-05-30 06:44:24.18
1953,26518,2021-05-29 07:43:42.978
1964,16412,2021-05-24 12:42:36.365
2036,23533,2021-05-14 09:11:49.001
2099,12772,2021-05-14 10:34:10.22
2100,13403,2021-05-31 09:44:15.23
2123,7907,2021-05-27 12:35:40.911
2162,14117,2021-05-28 16:58:29.034
2164,6491,2021-05-08 16:40:35.538
2185,15249,2021-05-01 22:45:14.144
2226,21557,2021-05-27 19:27:27.202
2239,23345,2021-05-27 10:24:03.352
2255,15262,2021-05-20 16:40:00.36
2281,9242,2021-05-14 09:44:04.269
2451,7083,2021-05-22 11:43:43.723
2487,2915,2021-05-29 00:42:24.475
2488,13820,2021-05-25 21:12:40.408
2494,14927,2021-05-16 20:56:19.785
2502,17428,2021-05-09 13:33:46.795
2533,22228,2021-05-15 21:08:55.845
2635,4484,2021-05-16 14:05:46.349
2674,7525,2021-05-03 18:53:49.986
2809,25049,2021-05-23 19:36:39.75
2857,21888,2021-05-06 01:29:46.677
2938,26592,2021-05-28 19:38:27.894
2957,26788,2021-05-31 21:57:36.978
2976,25127,2021-05-22 21:42:13.992
3007,23502,2021-05-14 07:25:23.424
3026,13382,2021-05-24 21:58:00.493
3034,27773,2021-05-06 13:50:09.282
3089,7586,2021-05-31 10:55:40.866
3092,12368,2021-05-12 11:41:06.888
3220,18876,2021-05-14 14:59:32.73
3402,10832,2021-05-17 07:53:53.52
3441,2302,2021-05-27 21:26:32.98
3447,12599,2021-05-05 21:02:58.011
3538,11443,2021-05-24 20:51:26.903
3557,16157,2021-05-29 22:49:02.892
3559,19855,2021-05-18 09:15:09.10
3598,6625,2021-05-20 13:01:52.558
3771,4937,2021-05-02 11:09:35.293
3787,4983,2021-05-30 08:41:42.612
3863,24453,2021-05-27 07:59:47.726
3906,4193,2021-05-24 17:58:25.855
3976,24039,2021-05-09 15:46:30.50
4136,10193,2021-05-21 23:34:06.055
4270,23412,2021-05-30 09:33:49.669
4285,26853,2021-05-07 16:56:11.041
4292,9734,2021-05-31 21:05:08.011
4330,6071,2021-05-11 16:52:12.029
4347,8379,2021-05-27 17:18:08.186
4356,26060,2021-05-06 20:07:45.14
4405,21778,2021-05-20 21:33:48.212
4452,14306,2021-05-08 08:28:55.943
4486,9219,2021-05-10 20:57:34.323
4543,4009,2021-05-31 10:46:47.018
4565,22352,2021-05-17 12:09:10.417
4583,27081,2021-05-21 21:03:33.51
4607,16462,2021-05-12 21:22:34.248
4611,4193,2021-05-08 00:42:31.321
4684,23480,2021-05-30 09:01:15.952
4747,8861,2021-05-14 00:55:01.963
4964,23405,2021-05-22 17:22:46.674
4976,23019,2021-05-31 05:52:11.506
5105,7171,2021-05-26 19:03:13.502
5159,6625,2021-05-18 18:51:07.569
5389,697,2021-05-30 13:46:33.221
5426,9046,2021-05-21 13:27:34.718
5441,26942,2021-05-29 08:58:21.057
5495,10442,2021-05-25 17:04:44.868
5535,13215,2021-05-01 12:25:04.842
5598,6491,2021-05-14 09:50:27.937
5684,19310,2021-05-19 15:09:26.524
5722,1921,2021-05-05 11:55:27.574
5725,20770,2021-05-02 17:09:51.75
5754,25127,2021-05-17 12:21:45.101
5815,3237,2021-05-28 11:19:10.212
5838,1799,2021-05-24 09:05:06.475
5858,27555,2021-05-26 01:49:11.163
5868,16544,2021-05-14 18:46:42.755
5917,23038,2021-05-03 09:29:19.127
